product,land_use,animal_feed,farm,processing,total,Country of origin,Country coordinates
wheat,0.1,0,0.8,0.2,1.1,Local,-
bread,0.1,0,0.8,0.2,1.1,Local,-
maize,0.3,0,0.5,0.1,0.9,Local,-
beer,0,0,0.2,0.1,0.3,Local,-
oatmeal,0,0,1.4,0,1.4,Local,-
rice,0,0,3.6,0.1,3.7,Thailand,"15.912658, 101.077201"
potato,0,0,0.2,0,0.2,Local,-
cassava,0.6,0,0.2,0,0.8,-,-
cane Sugar,1.2,0,0.5,0,1.7,-,-
beet Sugar,0,0,0.5,0.2,0.7,Local,-
other pulses,0,0,1.1,0,1.1,-,-
peas,0,0,0.7,0,0.7,Local,-
nuts,-2.1,0,2.1,0,0,-,-
groundnuts,0.4,0,1.4,0.4,2.2,-,-
soymilk,0.2,0,0.1,0.2,0.5,-,-
tofu,1,0,0.5,0.8,2.3,-,-
soybean Oil,3.1,0,1.5,0.3,4.9,-,-
palm Oil,3.1,0,2.1,1.3,6.5,Indonesia,"-0.972151, 115.437988"
sunflower Oil,0.1,0,2.1,0.2,2.4,-,-
rapeseed Oil,0.2,0,2.3,0.2,2.7,Local,-
olive oil,-0.4,0,4.3,0.7,4.6,EU,"51.901825, 19.591518"
tomato,0.4,0,0.7,0,1.1,Local,-
onion,0,0,0.2,0,0.2,Local,-
root vegetables,0,0,0.2,0,0.2,EU,"51.901825, 19.591518"
brassicas,0,0,0.3,0,0.3,EU,"51.901825, 19.591519"
vegetables,0,0,0.2,0.1,0.3,EU,"51.901825, 19.591520"
orange,-0.1,0,0.3,0,0.2,EU,"51.901825, 19.591521"
banana,0,0,0.3,0.1,0.4,South America,"-9.910936, -56.291560"
apple,0,0,0.2,0,0.2,EU,"51.901825, 19.591521"
berries,0,0,0.7,0,0.7,EU,"51.901825, 19.591521"
wine,-0.1,0,0.6,0.1,0.6,-,-
fruit,0.1,0,0.4,0,0.5,-,-
coffee,3.7,0,10.4,0.6,14.7,Brazil,"-9.910936, -56.291560"
chocolate,14.3,0,3.7,0.2,18.2,-,-
beef,16.3,1.9,39.4,1.3,58.9,Local,-
dairy,0.9,2.5,15.7,1.1,20.2,Local,-
lamb,0.5,2.4,19.5,1.1,23.5,Local,-
pork,1.5,2.9,1.7,0.3,6.4,Local,-
chicken,2.5,1.8,0.7,0.4,5.4,Local,-
milk,0.5,0.2,1.5,0.1,2.3,Local,-
cheese,4.5,2.3,13.1,0.7,20.6,Local,-
eggs,0.7,2.2,1.3,0,4.2,Local,-
fish,0.5,0.8,3.6,0,4.9,Local,-
shrimp,0.2,2.5,8.4,0,11.1,-,-
